Server Name,Repository,Stars,Forks,Last Commit Date,Popularity Score (%)
Basic Memory,basicmachines-co/basic-memory),N/A,N/A,N/A,N/A
EasyMCP,zcaceres/easy-mcp,106,6,2025-01-20 01:46:48,55.0
FastMCP,punkpeye/fastmcp),N/A,N/A,N/A,N/A
Foxy Contexts,strowk/foxy-contexts),N/A,N/A,N/A,N/A
Higress MCP Server Hosting,alibaba/higress,4803,627,2025-04-07 13:06:04,100.0
Quarkus MCP Server SDK,quarkiverse/quarkus-mcp-server),N/A,N/A,N/A,N/A
Template MCP Server,mcpdotdirect/template-mcp-server),N/A,N/A,N/A,N/A
codemirror-mcp,marimo-team/codemirror-mcp),N/A,N/A,N/A,N/A
